,loss,accuracy,val_loss,val_accuracy
0,2.443349599838257,0.24166817963123322,2.0458948612213135,0.44380927085876465
1,1.2188835144042969,0.590967059135437,0.6523475646972656,0.8100948333740234
2,0.7130571603775024,0.7564377784729004,0.20072880387306213,0.9397657513618469
3,0.4865598678588867,0.8317610621452332,0.13852913677692413,0.9524539709091187
4,0.38294312357902527,0.8675650954246521,0.09665654599666595,0.9762967228889465
5,0.2952629029750824,0.8987798094749451,0.04909491539001465,0.9806190729141235
6,0.2437688112258911,0.9169549942016602,0.06767056882381439,0.9846625924110413
7,0.20963062345981598,0.9279184341430664,0.04654766619205475,0.9870328903198242
8,0.18845154345035553,0.9373884797096252,0.017123045399785042,0.993725597858429
9,0.1562153697013855,0.9482426047325134,0.023125045001506805,0.9914947152137756
10,0.1386292427778244,0.9545802474021912,0.007055644411593676,1.0
11,0.1316724419593811,0.95476233959198,0.015223142690956593,0.9955381751060486
12,0.12229642271995544,0.9589509963989258,0.01602010428905487,0.995398759841919
13,0.11732695251703262,0.9606993198394775,0.008680657483637333,0.9981874227523804
